Bus ID,Date,Hour,Minute,LMP,LMP DA
309,2020-01-05,21,0,-0.0,21.647258
309,2020-01-05,22,0,-0.0,18.861019
309,2020-01-05,23,0,0.0,0.0
309,2020-01-06,0,0,31.17351,0.0
309,2020-01-06,1,0,29.665824,0.0
309,2020-01-06,2,0,0.0,0.0
309,2020-01-06,3,0,30.31046,0.0
309,2020-01-06,4,0,31.012232,0.0
309,2020-01-06,5,0,35.520065,32.078822
309,2020-01-06,6,0,11304.200309,35.520065
309,2020-01-06,7,0,1666.82732,0.0
309,2020-01-06,8,0,-0.0,0.0
309,2020-01-06,9,0,0.0,0.0
309,2020-01-06,10,0,-0.0,0.0
309,2020-01-06,11,0,-0.0,0.0
309,2020-01-06,12,0,0.0,0.0
309,2020-01-06,13,0,0.0,0.0
309,2020-01-06,14,0,0.0,0.0
309,2020-01-06,15,0,0.0,0.0
309,2020-01-06,16,0,0.0,31.205932
309,2020-01-06,17,0,1662.508406,35.234466
309,2020-01-06,18,0,1118.099461,35.234466
309,2020-01-06,19,0,1023.437807,22.96816
309,2020-01-06,20,0,34.489041,35.234466
309,2020-01-06,21,0,32.078822,33.267626
309,2020-01-06,22,0,15.332413,7.946959
309,2020-01-06,23,0,22.088068,0.0
309,2020-01-07,0,0,0.0,0.0
309,2020-01-07,1,0,0.0,0.0
309,2020-01-07,2,0,0.0,0.0
309,2020-01-07,3,0,0.0,0.0
309,2020-01-07,4,0,0.0,16.73208
309,2020-01-07,5,0,19.407311,34.40737
309,2020-01-07,6,0,34.888412,94.877157
309,2020-01-07,7,0,1661.319602,0.0
309,2020-01-07,8,0,0.0,0.0
309,2020-01-07,9,0,0.0,0.0
309,2020-01-07,10,0,0.0,0.0
309,2020-01-07,11,0,0.0,0.0
309,2020-01-07,12,0,0.0,0.0
309,2020-01-07,13,0,0.0,0.0
309,2020-01-07,14,0,0.0,0.0
309,2020-01-07,15,0,0.0,0.0
309,2020-01-07,16,0,0.0,28.1289
309,2020-01-07,17,0,35.234466,34.453227
309,2020-01-07,18,0,36.766731,34.489041
309,2020-01-07,19,0,35.520065,34.888412
309,2020-01-07,20,0,10000.0,34.489041
309,2020-01-07,21,0,31.205932,32.078822
