Year,Month,Day,Hour,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,2,22,14,0.00955270847381434,0.0066116047219788926,0.007093663911845729,0.04088997897687456
2020,2,22,15,0.007923128792987188,0.006215325574604764,0.010340417158598977,0.07457369773417426
2020,2,22,16,0.0077545515846257585,0.0061423267842990025,0.007103502558048013,0.11876897921046484
2020,2,22,17,0.008035513598561474,0.007936011346097692,0.006808343171979535,0.17351086194814294
2020,2,22,18,0.007473589570690042,0.021784924706962,0.006552538370720189,0.35562952581172624
2020,2,22,19,0.011126095751854349,0.07001626830183956,0.006690279417552145,0.568722261153936
2020,2,22,20,0.01843110811418296,0.12102156592833603,0.007211727666273121,0.6916257883672039
2020,2,22,21,0.02421892560125871,0.14238935469069372,0.007388823297914206,0.7318850735809389
2020,2,22,22,0.029051472240953023,0.11565094064155508,0.006877213695395514,0.7262205092268161
2020,2,22,23,0.052034164980894575,0.0871501272264631,0.006316410861865408,0.7506306937631394
2020,2,23,0,0.025061811643065857,0.10646352146164435,0.007290436835891381,0.7618079887876665
2020,2,23,1,0.009327938862665768,0.0540503900221082,0.016784730421094057,0.6417893015650549
2020,2,23,2,0.006743088334457181,0.11214699870687858,0.05430932703659976,0.5715837421163279
2020,2,23,3,0.007136435153967184,0.4550327451716514,0.16646989374262103,0.6054309740714786
2020,2,23,4,0.005787817487075748,0.7777812539106495,0.31064541519086974,0.5285096939967298
2020,2,23,5,0.007361204765115757,0.7712635047762066,0.26646989374262103,0.6253562251810325
2020,2,23,6,0.006911665542818611,0.8974888416134819,0.24785517512790237,0.9386241532352255
2020,2,23,7,0.009608900876601482,0.929368456179869,0.3333333333333333,0.9732655921513667
2020,2,23,8,0.006293549112160035,0.7934134234346973,0.13545848091302637,0.9112824106517168
2020,2,23,9,0.006518318723308608,0.8579547824636049,0.03816410861865407,0.8465545433309974
2020,2,23,10,0.006799280737244324,0.8679034747424185,0.01445297127115309,0.7390679747722494
2020,2,23,11,0.033715441672285906,0.8369728444500062,0.04635970090515545,0.4707311375846765
2020,2,23,12,0.2821420543942459,0.8225816543611562,0.05663124754033845,0.3796192478392899
2020,2,23,13,0.49438075972128565,0.8320819254995202,0.05294175521448249,0.5252277505255781
2020,2,23,14,0.5179815688918857,0.8067722020606516,0.3116587957497048,0.4812427003036673
2020,2,23,15,0.35642841087884913,0.6643619905727276,0.14076151121605668,0.5605582807755197
2020,2,23,16,0.4717352213980669,0.7266403871021565,0.16069460842188113,0.5596239196449428
2020,2,23,17,0.8091144077320747,0.745296792224586,0.29644824872097597,0.713548236393366
2020,2,23,18,0.885423690717015,0.8782693029658365,0.5769578905942543,0.89614576033637
2020,2,23,19,0.8718813216453134,0.8679034747424185,0.8921389216843764,0.949112356925952
2020,2,23,20,0.8922791638570465,0.9169065198348141,0.9698051948051949,0.9663279607568326
2020,2,23,21,0.8813216453135536,0.967567680307012,0.9835497835497835,0.9778439616911936
2020,2,23,22,0.8259721285682176,0.9333833896466859,0.9805981896890987,0.9821887409483765
2020,2,23,23,0.8692402787143177,0.9298064489217035,0.982664305391578,0.9564704508292455
2020,2,24,0,0.9474039109912339,0.9831268510407541,0.982103502558048,0.7951413221209999
2020,2,24,1,0.9370083164756124,0.9818128728152504,0.9785025580480126,0.7150432142022892
2020,2,24,2,0.8685097774780848,0.9798106202811496,0.8329201101928374,0.7291403877598692
2020,2,24,3,0.8209710047201618,0.980717890960664,0.7423455332546242,0.48237561317449196
2020,2,24,4,0.8554169476286806,0.9837525549576607,0.7642463597009053,0.22619715019855177
2020,2,24,5,0.7066756574511125,0.9803216118132899,0.7157516725698544,0.23444288717589348
