sim_id,battery_energy_capacity,battery_pmax,n_scenario,participation_mode,reserve_factor,wind_pmax
181,600.0,150.0,8,SelfSchedule,0.0,250.0
182,600.0,150.0,10,Bid,0.0,250.0
183,600.0,150.0,10,SelfSchedule,0.0,250.0
184,800.0,200.0,3,Bid,0.0,250.0
185,800.0,200.0,3,SelfSchedule,0.0,250.0
186,800.0,200.0,5,Bid,0.0,250.0
187,800.0,200.0,5,SelfSchedule,0.0,250.0
188,800.0,200.0,8,Bid,0.0,250.0
189,800.0,200.0,8,SelfSchedule,0.0,250.0
190,800.0,200.0,10,Bid,0.0,250.0
191,800.0,200.0,10,SelfSchedule,0.0,250.0
192,1000.0,250.0,3,Bid,0.0,250.0
193,1000.0,250.0,3,SelfSchedule,0.0,250.0
194,1000.0,250.0,5,Bid,0.0,250.0
195,1000.0,250.0,5,SelfSchedule,0.0,250.0
196,1000.0,250.0,8,Bid,0.0,250.0
197,1000.0,250.0,8,SelfSchedule,0.0,250.0
198,1000.0,250.0,10,Bid,0.0,250.0
199,1000.0,250.0,10,SelfSchedule,0.0,250.0
200,240.0,60.0,3,Bid,0.0,300.0
201,240.0,60.0,3,SelfSchedule,0.0,300.0
202,240.0,60.0,5,Bid,0.0,300.0
203,240.0,60.0,5,SelfSchedule,0.0,300.0
204,240.0,60.0,8,Bid,0.0,300.0
205,240.0,60.0,8,SelfSchedule,0.0,300.0
206,240.0,60.0,10,Bid,0.0,300.0
207,240.0,60.0,10,SelfSchedule,0.0,300.0
208,480.0,120.0,3,Bid,0.0,300.0
209,480.0,120.0,3,SelfSchedule,0.0,300.0
210,480.0,120.0,5,Bid,0.0,300.0
211,480.0,120.0,5,SelfSchedule,0.0,300.0
212,480.0,120.0,8,Bid,0.0,300.0
213,480.0,120.0,8,SelfSchedule,0.0,300.0
214,480.0,120.0,10,Bid,0.0,300.0
215,480.0,120.0,10,SelfSchedule,0.0,300.0
216,720.0,180.0,3,Bid,0.0,300.0
217,720.0,180.0,3,SelfSchedule,0.0,300.0
218,720.0,180.0,5,Bid,0.0,300.0
219,720.0,180.0,5,SelfSchedule,0.0,300.0
220,720.0,180.0,8,Bid,0.0,300.0
221,720.0,180.0,8,SelfSchedule,0.0,300.0
222,720.0,180.0,10,Bid,0.0,300.0
223,720.0,180.0,10,SelfSchedule,0.0,300.0
224,960.0,240.0,3,Bid,0.0,300.0
225,960.0,240.0,3,SelfSchedule,0.0,300.0
226,960.0,240.0,5,Bid,0.0,300.0
227,960.0,240.0,5,SelfSchedule,0.0,300.0
228,960.0,240.0,8,Bid,0.0,300.0
229,960.0,240.0,8,SelfSchedule,0.0,300.0
230,960.0,240.0,10,Bid,0.0,300.0
231,960.0,240.0,10,SelfSchedule,0.0,300.0
232,1200.0,300.0,3,Bid,0.0,300.0
233,1200.0,300.0,3,SelfSchedule,0.0,300.0
234,1200.0,300.0,5,Bid,0.0,300.0
235,1200.0,300.0,5,SelfSchedule,0.0,300.0
236,1200.0,300.0,8,Bid,0.0,300.0
237,1200.0,300.0,8,SelfSchedule,0.0,300.0
238,1200.0,300.0,10,Bid,0.0,300.0
239,1200.0,300.0,10,SelfSchedule,0.0,300.0
240,280.0,70.0,3,Bid,0.0,350.0
241,280.0,70.0,3,SelfSchedule,0.0,350.0
242,280.0,70.0,5,Bid,0.0,350.0
243,280.0,70.0,5,SelfSchedule,0.0,350.0
244,280.0,70.0,8,Bid,0.0,350.0
245,280.0,70.0,8,SelfSchedule,0.0,350.0
246,280.0,70.0,10,Bid,0.0,350.0
247,280.0,70.0,10,SelfSchedule,0.0,350.0
248,560.0,140.0,3,Bid,0.0,350.0
249,560.0,140.0,3,SelfSchedule,0.0,350.0
250,560.0,140.0,5,Bid,0.0,350.0
251,560.0,140.0,5,SelfSchedule,0.0,350.0
252,560.0,140.0,8,Bid,0.0,350.0
253,560.0,140.0,8,SelfSchedule,0.0,350.0
254,560.0,140.0,10,Bid,0.0,350.0
255,560.0,140.0,10,SelfSchedule,0.0,350.0
256,840.0,210.0,3,Bid,0.0,350.0
257,840.0,210.0,3,SelfSchedule,0.0,350.0
258,840.0,210.0,5,Bid,0.0,350.0
259,840.0,210.0,5,SelfSchedule,0.0,350.0
260,840.0,210.0,8,Bid,0.0,350.0
