sim_id,Dispatch,Dispatch DA,Revenue DA,Revenue RT,Total Revenue
72,87591.27154299988,57685.58279499993,2235738.5240966226,29844289.240379315,32080027.764475953
73,130226.22773600042,74171.58596899998,2044281.5437138088,13542599.887707839,15586881.431421598
74,91498.52667700015,63457.38044799996,2393847.0804022346,22173555.07684813,24567402.157250352
75,125275.64075700028,60575.00295900006,1730628.44239462,21717435.83275867,23448064.27515332
76,93179.44107899997,67260.04846399998,2543038.7675898764,19518435.981235087,22061474.748824958
77,121123.17169,48218.428316000005,1214483.4685398214,31828949.244844522,33043432.713384386
78,96117.30929899994,70154.27668800004,2727088.180105136,38082758.867278665,40809847.047383666
79,115065.67038500012,38465.89870599998,924757.1256319085,32480086.965161074,33404844.090793
80,131316.0607169998,91829.20466299998,3266867.815498794,54191680.90838638,57458548.723885015
81,258189.78895900009,145626.43663199997,3759583.6373836813,41196602.710028864,44956186.34741262
82,137554.40440100015,98386.13217899992,3493875.2537840023,43572513.31217408,47066388.56595808
83,271355.4796879995,130686.34490500021,3081451.321893526,42384565.8919955,45466017.2138891
84,137892.204614,101071.58790600019,3578230.773938794,53366491.591794245,56944722.36573286
85,274501.7771119994,112720.16145399991,2305693.138322299,48537022.48337864,50842715.62170103
86,141388.4021009997,101901.45837100018,3441478.938971161,53484922.47510818,56926401.41407929
87,270603.9356399998,98207.39119700005,2100656.1969220326,57975223.979524836,60075880.176446855
88,127248.81187499987,90893.22082700006,3388937.6803841325,42954198.5609345,46343136.24131853
89,233386.64232299943,138169.84559800016,3468995.9159197756,32738008.74271226,36207004.65863213
90,130423.12388799964,98276.44659200011,3687459.022643722,42937083.92449249,46624542.94713615
91,237156.09913799964,117239.29718800007,2574253.489933625,30615370.791890968,33189624.28182466
92,135082.900049,103577.0924489999,3582391.263086218,45727305.13502395,49309696.39811024
93,240659.9904589995,106720.65245399992,2440300.9614620977,41967994.439199336,44408295.400661394
94,136141.76748099996,104286.15202600014,4254429.18074263,52617279.205834165,56871708.38657688
95,234237.24248899965,91194.58228400008,2048488.4305164241,52526485.8674751,54574974.29799145
96,120864.98211799999,86883.33643000004,3335768.918717244,55787073.58600648,59122842.504723825
97,211597.46326199974,129697.99570799997,3171351.201351175,25083785.298888873,28255136.500240043
98,125906.2925569999,94681.27270700008,3522411.590802549,34567697.013670824,38090108.60447338
99,213809.43966099978,111666.679116,2621034.2852489846,24337836.088608153,26958870.373857133
100,130661.2510549999,95231.13821499987,3616685.4407351934,45970423.54424314,49587108.98497834
101,207817.55419999993,88436.57277200004,2014836.5619161571,48947818.171674915,50962654.733591154
102,127962.22538299975,96256.13923900008,3549301.7102183364,49931526.845273554,53480828.55549195
103,201897.84195099975,79071.64856899984,1695747.1104993448,45483133.388524756,47178880.49902409
104,123238.82223599976,86772.00166600003,3047618.0212665554,35786819.11989754,38834437.14116415
105,194835.12896599935,117813.98928200001,2879560.226484521,14572694.648286406,17452254.874770977
106,122659.03507100002,88480.50362300003,3241803.161499088,31911975.28644099,35153778.447940044
107,190821.3474109999,95308.1608259999,2153293.8132722303,28323836.26020828,30477130.0734805
108,120635.785069,96559.83927600017,3751482.393703391,29712723.278350662,33464205.67205403
109,183087.16121000028,78654.3382000001,1742064.5912858236,35924759.726394616,37666824.31768044
110,128306.50563299989,99862.90751400021,3892392.0026369304,33357482.272779644,37249874.275416486
111,174253.75329600013,69124.95393400003,1703851.9723264796,37135096.530944735,38838948.5032712
112,128323.9989090001,83630.15475300002,3078080.966558956,27713499.766728565,30791580.733287513
113,196643.2364319997,111609.59854099993,2814630.5936154635,-7888196.662335446,-5073566.068719973
114,133963.44115599993,93236.31505600005,3458876.9598092115,25779937.752931863,29238814.71274111
115,196043.32250600023,94026.6544750001,2151602.558961444,12359966.68145843,14511569.240419835
116,139406.6038419999,99344.97950500013,3960457.9231105605,26950758.682319757,30911216.605430275
117,178811.72259700004,70259.34824900003,1613737.5353765278,20460113.721371498,22073851.256748028
118,144112.34428899988,106420.36672200002,3922735.918387632,37665521.549475804,41588257.46786341
119,170562.30365000007,59734.62289100001,1259854.3388388862,34008431.9094292,35268286.24826813
120,170527.1440670001,119321.32725099991,3982684.2061033966,68705296.67576243,72687980.88186592
121,342630.34209099977,192717.13955599957,4276939.511066006,38003865.16524436,42280804.6763102
122,183861.01701000019,131394.12402400014,4446841.678425086,65934622.28278503,70381463.96121003
123,359745.8318649998,175963.60286699972,3721437.3416337273,49206910.45472713,52928347.79636097
124,190380.6811770002,138247.8317409998,4566751.556413515,69144116.89569025,73710868.45210372
125,365995.90985499945,148777.2484859998,3068713.9551481795,52997337.803035416,56066051.75818359
126,191430.05647500005,134524.98977200035,4338043.574842966,79174729.7774294,83512773.35227251
127,360398.3606370002,137791.24126199988,2851726.3223099634,56125221.68364434,58976948.005954355
